block,block_start,lambda,seed,method,model,risk,speed,gain,hazard,n_obs
16,2005-02-11,0.003,9,dtr,dtr,0.1657470315694809,1.3082793951034546,0.04226483032107353,0.07234027122434479,281
17,2005-02-23,0.003,9,dtr,dtr,0.28733986616134644,0.8407312631607056,0.055955905467271805,0.03955125988694378,331
18,2005-03-09,0.003,9,dtr,dtr,0.3934548795223236,2.808095932006836,0.03375348076224327,0.2661597904753869,320
19,2005-03-23,0.003,9,dtr,dtr,0.13829615712165833,1.157148838043213,0.15003961324691772,0.20090205688521154,281
0,2004-06-30,0.08,0,isotropic,isotropic,0.1534252166748047,0.0,0.0,0.0,332
1,2004-07-14,0.08,0,isotropic,isotropic,0.20737016201019287,0.589765727519989,0.0236702561378479,0.00823307401895627,213
2,2004-07-31,0.08,0,isotropic,isotropic,0.13588525354862213,2.501310348510742,0.015365107916295528,0.09613261909031802,195
3,2004-08-11,0.08,0,isotropic,isotropic,0.07910510152578354,1.4069782495498657,0.011078479699790478,0.021930823197607897,220
4,2004-08-25,0.08,0,isotropic,isotropic,0.1541299968957901,1.578414797782898,0.09519083797931671,0.23715781347476922,166
5,2004-09-08,0.08,0,isotropic,isotropic,0.3005031943321228,1.030644178390503,0.07104642689228058,0.07546746291208625,237
6,2004-09-22,0.08,0,isotropic,isotropic,0.2133038341999054,1.0603092908859253,0.021297626197338104,0.023943979615428487,201
7,2004-10-07,0.08,0,isotropic,isotropic,0.16345295310020447,2.3673222064971924,0.007768626324832439,0.04353704774604638,116
8,2004-10-20,0.08,0,isotropic,isotropic,0.3079957365989685,0.7426848411560059,0.16138900816440582,0.08901907392268672,322
9,2004-11-03,0.08,0,isotropic,isotropic,0.2426612675189972,4.305335521697998,0.03654450178146362,0.677385740527429,305
10,2004-11-17,0.08,0,isotropic,isotropic,0.9363947510719299,1.8594954013824463,0.16590960323810577,0.5736694755524847,328
11,2004-12-01,0.08,0,isotropic,isotropic,0.31448403000831604,1.149946928024292,0.1564384400844574,0.20687074170901332,307
12,2004-12-17,0.08,0,isotropic,isotropic,1.0399456024169922,1.5976122617721558,0.011156321503221989,0.028475003852642244,237
13,2005-01-01,0.08,0,isotropic,isotropic,0.27211812138557434,1.4250354766845703,0.06923432648181915,0.1405959544817138,224
14,2005-01-12,0.08,0,isotropic,isotropic,0.7548614144325256,1.3407779932022095,0.025241421535611153,0.0453761407010134,279
15,2005-01-26,0.08,0,isotropic,isotropic,0.30032873153686523,2.018606662750244,0.07889800518751144,0.3214914501593976,296
16,2005-02-11,0.08,0,isotropic,isotropic,0.22113704681396484,1.3082793951034546,0.07125235348939896,0.1219551702358541,281
17,2005-02-23,0.08,0,isotropic,isotropic,0.3648104667663574,0.8407312631607056,0.10001586377620697,0.0706941186635541,331
18,2005-03-09,0.08,0,isotropic,isotropic,0.5784610509872437,2.808095932006836,0.046588171273469925,0.36736649449939845,320
19,2005-03-23,0.08,0,isotropic,isotropic,0.2946963608264923,1.157148838043213,0.0899718701839447,0.12047174336564784,281
0,2004-06-30,0.08,1,isotropic,isotropic,0.17096753418445587,0.0,0.0,0.0,332
1,2004-07-14,0.08,1,isotropic,isotropic,0.2555268406867981,0.589765727519989,0.04878408461809158,0.016968256586187135,213
2,2004-07-31,0.08,1,isotropic,isotropic,0.4388136565685272,2.501310348510742,0.0318598672747612,0.19933296281925042,195
3,2004-08-11,0.08,1,isotropic,isotropic,0.36722230911254883,1.4069782495498657,0.008000980131328106,0.015838642613665563,220
4,2004-08-25,0.08,1,isotropic,isotropic,0.3105314373970032,1.578414797782898,0.09950224310159683,0.2478992191973036,166
5,2004-09-08,0.08,1,isotropic,isotropic,0.4455006420612335,1.030644178390503,0.1010468453168869,0.10733473004768436,237
6,2004-09-22,0.08,1,isotropic,isotropic,0.2915145456790924,1.0603092908859253,0.019498102366924286,0.02192085452563366,201
7,2004-10-07,0.08,1,isotropic,isotropic,0.21256393194198608,2.3673222064971924,0.005667941179126501,0.03176435774090799,116
8,2004-10-20,0.08,1,isotropic,isotropic,0.3875695765018463,0.7426848411560059,0.16534380614757538,0.09120046445242112,322
9,2004-11-03,0.08,1,isotropic,isotropic,0.3452896773815155,4.305335521697998,0.023778824135661125,0.4407622381152955,305
