lambda,seed,method,model,val_mse,val_directional_gain,deploy_mse,volatility,initial_risk,terminal_risk,mean_gain,mean_hazard,max_hazard,subspace,source
0.003,8,dtr,dtr,0.5734368562698364,0.1806922616629765,0.440489262342453,0.06165057124960629,0.413848876953125,0.13409361243247986,0.0745368755538948,0.17368850621043444,0.783657346975164,sensor_only_k2,subspace_ablation
0.003,9,dtr,dtr,0.44510266184806824,0.20520280640700767,0.396977961063385,0.057408903507614295,0.31937703490257263,0.13477247953414917,0.07534226011484861,0.1829909347108474,0.737647777289947,sensor_only_k2,subspace_ablation
0.01,0,dtr,dtr,0.5912901759147644,0.21129502263562433,0.4162912368774414,0.06297891448223668,0.42301735281944275,0.13241161406040192,0.08091416610404849,0.1804460993603053,0.8494278478454929,sensor_only_k2,subspace_ablation
0.01,1,dtr,dtr,0.6004638075828552,0.2597362584081189,0.47345033288002014,0.12552799322955696,0.40123096108436584,0.15987098217010498,0.08462585350498557,0.202380809875657,0.7379587547259568,sensor_only_k2,subspace_ablation
0.01,2,dtr,dtr,0.5709063410758972,0.19563922224373653,0.4966992735862732,0.08101764087107774,0.46079087257385254,0.16046957671642303,0.07776897398289292,0.17467796236874392,0.6906654327857471,sensor_only_k2,subspace_ablation
0.01,3,dtr,dtr,0.46742406487464905,0.17795608125883958,0.4650118350982666,0.08826031781718495,0.33617517352104187,0.14727802574634552,0.06927912277169526,0.17821210800609516,0.7119685383609969,sensor_only_k2,subspace_ablation
0.01,4,dtr,dtr,0.4108259677886963,0.18977919282584355,0.4126957654953003,0.06902974526001145,0.2864307165145874,0.150098979473114,0.06860576802864671,0.16407716536041503,0.6882065500263699,sensor_only_k2,subspace_ablation
0.01,5,dtr,dtr,0.5180778503417969,0.17344334043305495,0.42287516593933105,0.057715273733925265,0.354013055562973,0.14289948344230652,0.06415880057029426,0.15629267477168968,0.7107236579700928,sensor_only_k2,subspace_ablation
0.01,6,dtr,dtr,0.6083787679672241,0.1930763787236707,0.5386794209480286,0.08419333840943466,0.4232481122016907,0.16790367662906647,0.08233389446977527,0.19182673599964567,0.7187126068799629,sensor_only_k2,subspace_ablation
0.01,7,dtr,dtr,0.40944576263427734,0.1852141314539416,0.3666118085384369,0.0432677555558415,0.27093786001205444,0.1597648411989212,0.07275130602065474,0.18014410717138282,0.7798658952892696,sensor_only_k2,subspace_ablation
0.01,8,dtr,dtr,0.5710285305976868,0.18426553134260507,0.42368194460868835,0.06077538989058158,0.4008888304233551,0.12663866579532623,0.07329632160253823,0.17426464494607302,0.7606555505297748,sensor_only_k2,subspace_ablation
0.01,9,dtr,dtr,0.41939330101013184,0.18746623335213497,0.387518048286438,0.05434846618875026,0.3044455349445343,0.13151031732559204,0.06933625887613744,0.17287362453036415,0.6622375313754884,sensor_only_k2,subspace_ablation
0.03,0,dtr,dtr,0.6251710653305054,0.1947242967013655,0.4309868812561035,0.06890453994046532,0.4557724893093109,0.16505007445812225,0.06403996986337006,0.14954125232636203,0.5821664009677396,sensor_only_k2,subspace_ablation
0.03,1,dtr,dtr,0.4898395538330078,0.21038584544740874,0.40736469626426697,0.07356990707459617,0.3318856954574585,0.1520623117685318,0.06871572742238641,0.16477181726344978,0.6678465988976815,sensor_only_k2,subspace_ablation
0.03,2,dtr,dtr,0.5653476715087891,0.18679399161503232,0.5459904670715332,0.09484888931399754,0.4630843997001648,0.17554640769958496,0.0684790438041091,0.15793016231618218,0.5729540120389044,sensor_only_k2,subspace_ablation
